"ATTITUDE {time_boot_ms : 3736472937, roll : -0.147111952305, pitch : -0.0967048257589, yaw : 2.13788080215, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 3736522830, roll : -0.147108480334, pitch : -0.096697948873, yaw : 2.13818454742, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 3736572758, roll : -0.147110134363, pitch : -0.0966863334179, yaw : 2.13854122162, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 3736622624, roll : -0.147110179067, pitch : -0.0966764837503, yaw : 2.13889741898, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 3736672659, roll : -0.147112384439, pitch : -0.0967150777578, yaw : 2.13926172256, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 3736722503, roll : -0.147113472223, pitch : -0.0967008918524, yaw : 2.13961863518, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 3736772508, roll : -0.147114977241, pitch : -0.0966898202896, yaw : 2.13997530937, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 3736822398, roll : -0.147115603089, pitch : -0.0967459529638, yaw : 2.14028716087, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 3736872270, roll : -0.147117227316, pitch : -0.0967885106802, yaw : 2.14065146446, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 3736922295, roll : -0.147117465734, pitch : -0.0967869907618, yaw : 2.14100790024, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 3736972165, roll : -0.147109553218, pitch : -0.0967847183347, yaw : 2.14131116867, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 3737022099, roll : -0.147108063102, pitch : -0.0967853963375, yaw : 2.14161515236, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 3737072006, roll : -0.147110000253, pitch : -0.0967738106847, yaw : 2.14197158813, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 3737122142, roll : -0.147116407752, pitch : -0.0967598184943, yaw : 2.14232873917, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 3737171901, roll : -0.147115960717, pitch : -0.0967550575733, yaw : 2.14268517494, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 3737221875, roll : -0.147117182612, pitch : -0.096743285656, yaw : 2.14304161072, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 3737271753, roll : -0.14712202549, pitch : -0.0967265442014, yaw : 2.14339876175, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 3737321762, roll : -0.147119686007, pitch : -0.0967142209411, yaw : 2.14375495911, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 3737371616, roll : -0.147121042013, pitch : -0.0967045426369, yaw : 2.14411139488, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 3737421569, roll : -0.147123411298, pitch : -0.0966931059957, yaw : 2.1444683075, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 3737471643, roll : -0.147122487426, pitch : -0.0966931581497, yaw : 2.14477205276, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 3737521431, roll : -0.147122293711, pitch : -0.0966872498393, yaw : 2.14507627487, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 3737571338, roll : -0.147119939327, pitch : -0.0966842472553, yaw : 2.14538002014, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 3737621340, roll : -0.147119447589, pitch : -0.0966725349426, yaw : 2.14573645592, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 3737671227, roll : -0.147122472525, pitch : -0.0966602638364, yaw : 2.14609336853, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 3737721159, roll : -0.147121205926, pitch : -0.0966480001807, yaw : 2.14644956589, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 3737771044, roll : -0.147119686007, pitch : -0.0966415330768, yaw : 2.14675378799, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 3737821076, roll : -0.147125244141, pitch : -0.0966327264905, yaw : 2.14711070061, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
