"ATTITUDE {time_boot_ms : 684060021, roll : -0.142166823149, pitch : -0.101798340678, yaw : 2.11020612717, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 684109660, roll : -0.142186298966, pitch : -0.101775728166, yaw : 2.11055898666, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 684159625, roll : -0.142194777727, pitch : -0.101766973734, yaw : 2.11091041565, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 684209459, roll : -0.142158180475, pitch : -0.101760856807, yaw : 2.11126279831, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 684259486, roll : -0.142171695828, pitch : -0.101799450815, yaw : 2.11162233353, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 684309467, roll : -0.142183437943, pitch : -0.101787015796, yaw : 2.11197423935, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 684359335, roll : -0.142143204808, pitch : -0.101827546954, yaw : 2.11228132248, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 684409246, roll : -0.142151460052, pitch : -0.101820617914, yaw : 2.11258029938, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 684459168, roll : -0.142168685794, pitch : -0.101813316345, yaw : 2.11293268204, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 684509134, roll : -0.142179101706, pitch : -0.101809613407, yaw : 2.11323213577, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 684559153, roll : -0.14214232564, pitch : -0.101839117706, yaw : 2.11359190941, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 684608974, roll : -0.142157062888, pitch : -0.101823970675, yaw : 2.11394405365, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 684658951, roll : -0.142117321491, pitch : -0.101809442043, yaw : 2.11429595947, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 684708820, roll : -0.142081856728, pitch : -0.101847484708, yaw : 2.11465620995, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 684758782, roll : -0.142097786069, pitch : -0.10183968395, yaw : 2.11500835419, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 684808678, roll : -0.142114520073, pitch : -0.101879946887, yaw : 2.11531591415, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 684858668, roll : -0.142075374722, pitch : -0.101862616837, yaw : 2.11566781998, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 684908531, roll : -0.142096042633, pitch : -0.101845063269, yaw : 2.11602020264, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 684958544, roll : -0.142065390944, pitch : -0.101877957582, yaw : 2.11638092995, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 685008380, roll : -0.142080962658, pitch : -0.10186124593, yaw : 2.11673307419, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 685058315, roll : -0.142094388604, pitch : -0.101850785315, yaw : 2.11708498001, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 685108303, roll : -0.142107829452, pitch : -0.101836130023, yaw : 2.11743688583, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 685158226, roll : -0.142074525356, pitch : -0.10181774199, yaw : 2.11778950691, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 685208148, roll : -0.14203555882, pitch : -0.101809196174, yaw : 2.11808919907, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 685258034, roll : -0.142054334283, pitch : -0.101844340563, yaw : 2.11844921112, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 685308085, roll : -0.14206969738, pitch : -0.101831249893, yaw : 2.11880135536, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 685357890, roll : -0.14208611846, pitch : -0.101817406714, yaw : 2.11915373802, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 685407926, roll : -0.142104491591, pitch : -0.101804211736, yaw : 2.1195063591, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 685457795, roll : -0.142123669386, pitch : -0.101792797446, yaw : 2.11985874176, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 685507761, roll : -0.14214360714, pitch : -0.101775974035, yaw : 2.12021160126, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 685557632, roll : -0.142158210278, pitch : -0.101815633476, yaw : 2.12057113647, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 685607563, roll : -0.142177388072, pitch : -0.101799182594, yaw : 2.12092375755, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 685657666, roll : -0.142194062471, pitch : -0.101784735918, yaw : 2.12127637863, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 685707432, roll : -0.142211258411, pitch : -0.10182261467, yaw : 2.12163615227, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 685757429, roll : -0.142227217555, pitch : -0.101802937686, yaw : 2.12198853493, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 685807288, roll : -0.142188876867, pitch : -0.101787917316, yaw : 2.12234067917, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 685857241, roll : -0.142141118646, pitch : -0.101783886552, yaw : 2.12263941765, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 685907214, roll : -0.142158254981, pitch : -0.101778961718, yaw : 2.12293958664, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 685957125, roll : -0.142168208957, pitch : -0.101766891778, yaw : 2.12329125404, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 686007121, roll : -0.142181351781, pitch : -0.101759307086, yaw : 2.12359070778, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 686057039, roll : -0.142140269279, pitch : -0.101804859936, yaw : 2.12389779091, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 686106981, roll : -0.142150655389, pitch : -0.101801902056, yaw : 2.12419700623, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 686156803, roll : -0.142163604498, pitch : -0.101791255176, yaw : 2.12449645996, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 686206839, roll : -0.142173275352, pitch : -0.101777888834, yaw : 2.12484836578, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 686256749, roll : -0.142191946507, pitch : -0.101757898927, yaw : 2.12520074844, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
"ATTITUDE {time_boot_ms : 686306730, roll : -0.142206698656, pitch : -0.10174626112, yaw : 2.1255531311, rollspeed : 0.0, pitchspeed : 0.0, yawspeed : 0.0}"
